ID,ID LATTES,ORIENTAÇÕES CONC. TCC,ORIENTACOES CONC. ESPECIALIZACAO,O.P MESTRADO CONC.,O.P MESTRADO AND.,O.P DOUTORADO CONC.,O.P DOUTORADO AND.,C.O MESTRADO CONC.,C.O MESTRADO AND.,C.O DOUTORADO CONC.,C.O DOUTORADO AND.,BOLSA PRODUTIVIDADE,PUB. TEC. E ART.,LIVROS ISBN,CAPÍTULOS ISBN,PUB. TRAB. EVENTOS,PATENTES,REGISTROS DE SW,ORIENTAÇÕES I.C,EVENTOS ORGANIZADOS,PUBLICAÇÕES CIENTÍFICAS,PI,Obs,Grande Área,Titulação,Unidade
280,4487728205656848,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,"8,74",,Ciências da Saúde,Instituto de Ciências Biológicas,Instituto de Ciências Biológicas
281,8873017504163975,3,1,5,1,0,0,0,0,0,0,,3,0,1,1,0,0,8,4,13,"130,05",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
282,968901873091698,4,7,0,5,0,0,1,0,0,1,,0,3,9,1,0,0,3,3,14,"189,58",,"Linguística, Letras e Artes",Campus Garanhuns,Campus Garanhuns
283,6582201624701491,13,0,0,0,0,0,0,0,0,0,,0,0,2,5,0,0,2,3,1,"62,91",,Ciências Humanas,Campus Petrolina,Campus Petrolina
284,4220630881662396,7,2,0,0,0,0,0,0,0,1,,4,0,2,0,0,0,3,5,12,"102,19",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
285,8393973938706517,9,2,1,6,0,0,1,2,1,1,,4,1,1,0,0,0,10,2,20,"203,32",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
286,3604533312154051,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,7,"40,48",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
287,1996799211395009,6,0,9,3,0,6,0,0,0,0,1,0,2,6,2,0,0,5,12,17,"256,74",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
289,471789576411239,4,0,2,0,0,2,1,0,0,0,,2,0,0,9,2,0,1,3,9,"123,84",,Engenharias,Escola Politécnica de Pernambuco,Escola Politécnica de Pernambuco
290,"9,91053327148715E+015",13,0,0,0,0,0,0,0,0,0,,1,0,8,0,0,0,10,22,3,"94,56",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
291,60061609762081,15,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,5,5,1,"66,79",,Ciências da Saúde,Instituto de Ciências Biológicas,Instituto de Ciências Biológicas
292,5272151283160506,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,,Ciências da Saúde,Campus Garanhuns,Campus Garanhuns
293,41667579789971,7,11,0,0,0,0,0,0,0,1,,3,0,0,2,0,0,0,1,22,"187,65",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
294,2943895585404868,4,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,4,1,6,"68,13",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
295,1596573712615729,4,5,3,0,3,0,0,0,0,0,,1,0,6,0,0,0,0,0,24,"215,62",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
296,4046930879948120,5,4,0,0,0,0,0,0,0,0,,3,0,1,0,0,0,0,0,7,"59,68",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
297,5731994034130179,0,0,4,4,0,4,0,0,0,0,1,5,0,4,0,0,0,5,3,24,"212,19",,Ciências Biológicas,Instituto de Ciências Biológicas,Instituto de Ciências Biológicas
298,6562095215127779,6,0,8,4,0,0,0,0,0,0,1,2,5,24,9,0,0,11,14,12,"265,39",,Ciências Sociais Aplicadas,Instituto de Ciências Biológicas,Instituto de Ciências Biológicas
299,8183650174993790,11,0,0,0,0,0,0,0,0,0,,0,1,4,4,0,0,7,9,4,"96,13",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
300,8543712630106354,11,0,8,4,0,2,4,0,0,0,,3,6,21,5,0,0,11,8,19,"319,03",,Ciências Agrárias,Campus Petrolina,Campus Petrolina
301,2444349110688079,10,0,0,0,0,0,0,0,0,0,,0,0,2,3,0,0,0,1,0,"40,33",,Ciências Sociais Aplicadas,Campus Mata Sul,Campus Mata Sul
302,6286650794768282,6,0,0,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,"22,14",,Engenharias,Escola Politécnica de Pernambuco,Escola Politécnica de Pernambuco
303,2234877552692538,8,0,5,3,1,4,0,0,0,0,,0,2,11,9,0,0,3,8,7,"184,36",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
304,3674366146808215,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,"18,73",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
305,7479375228598666,12,8,6,2,0,0,0,0,1,1,,5,0,0,0,0,0,7,8,21,"217,33",,Ciências da Saúde,Faculdade de Enfermagem Nossa Senhora das Graças,Faculdade de Enfermagem Nossa Senhora das Graças
306,3243437082893833,7,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,8,5,0,"42,76",,Ciências da Saúde,Escola Superior de Educação Física,Escola Superior de Educação Física
307,2436908704358678,9,0,4,3,5,0,0,0,0,0,,9,0,2,3,3,0,30,0,20,"268,79",,Ciências da Saúde,Faculdade de Odontologia de Pernambuco,Faculdade de Odontologia de Pernambuco
308,1953193517646332,5,2,0,1,0,0,1,0,0,0,,2,0,2,0,0,0,12,6,8,"103,45",,Ciências da Saúde,Campus Arcoverde,Campus Arcoverde
309,6515667619160885,6,1,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,"30,89",,"Linguística, Letras e Artes",Campus Mata Norte,Campus Mata Norte
310,3837530677280971,4,0,6,2,0,0,0,0,0,0,,0,1,9,0,0,0,4,1,16,"185,27",,Ciências Biológicas,Campus Petrolina,Campus Petrolina
311,"9,0246723763604E+015",0,3,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,1,0,8,"71,24",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
312,1303597595680249,6,0,0,0,0,0,0,0,0,0,,0,6,14,0,0,0,6,19,24,"246,4",,Ciências da Saúde,Campus Petrolina,Campus Petrolina
313,5245162152672354,5,0,0,0,0,0,0,0,0,0,,2,0,2,7,0,0,3,0,12,"106,48",,Engenharias,Escola Politécnica de Pernambuco,Escola Politécnica de Pernambuco
314,8978337810096823,10,0,0,0,0,0,0,0,0,0,,1,0,1,4,0,0,2,2,12,"110,8",,Ciências Sociais Aplicadas,Campus Mata Sul,Campus Mata Sul
315,"9,91452936340318E+015",18,11,0,0,0,0,0,0,0,0,,0,0,7,0,0,0,0,1,3,"125,91",,Ciências Humanas,Campus Petrolina,Campus Petrolina
